carat,cut,color,clarity,depth,table,price
0.34,Ideal,G,VVS1,61.7,56.0,863
0.4,Ideal,E,VS1,61.6,56.0,1053
1.2,Premium,E,SI1,60.9,57.0,7274
1.52,Ideal,I,VVS1,61.9,56.0,10968
0.34,Ideal,E,VS2,62.1,54.1,758
1.1,Premium,D,SI1,60.4,59.0,5166
0.31,Ideal,H,VS1,62.4,55.0,698
1.12,Premium,H,SI2,62.4,58.0,4065
1.5,Fair,G,SI1,64.5,57.0,10352
1.39,Very Good,G,VS2,62.6,56.0,10476
1.04,Ideal,F,SI2,62.6,57.0,4547
1.29,Ideal,E,SI2,62.8,57.0,6473
0.35,Ideal,E,VVS1,62.2,56.0,1116
1.26,Very Good,G,VVS2,60.9,56.0,10020
1.14,Ideal,G,VVS1,61.0,56.0,9037
1.06,Ideal,G,VS2,62.7,55.0,6411
0.84,Premium,E,SI2,59.2,59.0,3086
1.05,Premium,G,SI2,62.5,60.0,4318
0.61,Ideal,F,VVS2,61.5,56.0,2660
1.21,Ideal,I,VVS1,61.6,55.0,7086
0.27,Ideal,D,VVS2,61.5,56.0,586
0.3,Ideal,F,VS2,62.2,55.0,573
0.91,Very Good,F,SI2,61.2,59.0,3688
0.34,Very Good,E,SI1,63.0,55.0,596
0.55,Ideal,F,VS2,61.1,56.0,1692
0.37,Ideal,I,IF,60.7,56.0,754
0.71,Ideal,G,SI1,61.6,57.0,3007
0.42,Very Good,H,VVS2,62.4,55.0,921
0.31,Ideal,H,IF,62.2,54.0,789
1.2,Good,E,VS2,61.8,61.0,8563
0.71,Very Good,G,VS1,59.3,55.0,2994
0.82,Good,F,VS2,60.9,62.2,3363
1.2,Ideal,E,VS2,61.3,56.0,10214
1.01,Very Good,F,SI1,62.4,60.0,5078
0.41,Very Good,D,SI1,60.3,63.0,920
0.46,Premium,G,VS1,62.8,57.0,1087
0.58,Premium,H,SI1,62.1,55.0,1332
1.12,Premium,F,SI2,62.4,59.0,3723
0.44,Ideal,G,VVS2,61.8,56.0,1155
0.32,Premium,G,VS2,59.8,59.0,720
0.91,Ideal,G,SI2,62.3,56.0,3664
0.43,Ideal,D,SI1,61.6,56.0,1036
0.3,Premium,G,VVS1,62.7,59.0,1013
0.3,Very Good,D,SI2,61.4,59.0,447
1.27,Ideal,H,VS1,61.4,56.0,8652
1.2,Ideal,J,VS2,62.3,57.0,4927
0.31,Premium,E,VVS2,60.4,59.0,1046
0.62,Very Good,D,SI1,62.4,58.0,1700
0.29,Ideal,H,VS2,62.8,55.0,498
0.83,Ideal,H,SI2,61.8,57.0,1863
0.33,Ideal,H,IF,62.1,54.0,838
0.72,Ideal,D,VS2,62.1,54.0,3450
0.94,Premium,F,SI2,62.6,57.0,3869
0.92,Very Good,I,SI1,63.3,58.0,3323
0.91,Premium,E,VS1,62.8,60.0,4969
1.0,Premium,H,SI2,62.8,60.0,3080
1.64,Ideal,E,SI1,60.7,55.0,9801
0.81,Ideal,G,IF,62.4,54.0,4751
0.57,Very Good,F,SI2,63.5,56.0,1397
1.56,Very Good,J,SI2,62.0,57.0,6662
1.01,Very Good,G,SI1,62.3,59.0,4064
1.16,Premium,H,SI1,61.2,58.0,5554
1.2,Good,E,SI2,63.3,55.0,5544
0.4,Ideal,E,VS2,62.1,54.0,854
0.73,Very Good,H,VS1,61.4,58.0,2557
0.24,Very Good,E,VVS2,62.1,59.0,471
0.57,Ideal,D,SI1,61.4,55.0,1810
1.01,Very Good,I,SI1,63.2,55.0,3676
0.42,Premium,G,VVS2,60.4,59.0,1103
1.02,Ideal,F,SI2,62.4,57.0,4319
0.31,Good,F,SI1,63.1,55.0,516
0.53,Ideal,E,VS2,61.5,56.0,1801
0.36,Ideal,J,SI1,62.3,53.0,439
1.08,Ideal,H,VS2,61.9,54.0,5745
0.32,Ideal,D,VVS1,61.9,56.0,1067
0.5,Good,H,VVS1,63.3,57.0,1596
1.0,Good,H,SI1,61.2,62.0,4389
0.77,Ideal,E,SI1,61.6,57.0,3218
0.53,Very Good,H,VS1,63.4,56.0,1607
0.43,Premium,F,VS1,59.9,58.0,1056
1.56,Ideal,I,VS2,62.5,57.0,9295
0.76,Premium,F,SI2,61.8,58.0,2469
0.41,Very Good,G,VS1,60.7,58.0,899
0.7,Very Good,G,SI1,63.3,61.0,2184
0.7,Premium,I,SI1,61.8,62.0,1914
1.24,Ideal,J,SI1,61.8,57.0,4875
0.72,Ideal,E,SI1,62.3,57.0,2831
0.4,Ideal,E,VVS2,61.7,56.0,1158
0.42,Ideal,G,VVS2,62.1,57.0,1031
0.41,Very Good,F,VS2,62.6,57.0,863
0.31,Ideal,D,SI2,61.3,56.0,462
0.71,Premium,F,SI1,62.3,60.0,2458
0.5,Ideal,H,SI1,62.2,57.0,1140
0.52,Ideal,D,VVS2,61.4,56.0,2302
0.31,Good,I,VS2,63.2,55.0,435
0.46,Premium,E,VS2,61.5,60.0,1173
0.5,Premium,G,VVS1,62.3,59.0,2070
0.7,Good,I,SI1,62.8,59.0,1790
0.71,Very Good,J,SI1,59.1,61.0,1861
1.51,Premium,H,VS1,59.8,61.0,9234
0.43,Ideal,G,VVS2,60.9,57.0,1408
0.3,Ideal,G,SI1,62.3,58.0,477
0.71,Ideal,D,SI2,61.3,57.0,2610
0.33,Very Good,G,VVS1,62.8,59.0,868
0.33,Very Good,E,IF,61.8,55.0,957
1.01,Ideal,D,VS2,60.6,57.0,7602
1.5,Ideal,J,VS2,61.6,58.0,7515
1.13,Ideal,I,SI1,61.4,57.0,4936
0.7,Good,E,SI1,63.5,59.0,2812
0.92,Premium,I,SI1,60.4,59.0,2730
0.51,Very Good,F,SI1,61.7,55.0,1320
0.34,Premium,H,VS1,61.6,59.0,596
0.5,Very Good,H,VVS1,63.3,57.0,1715
1.11,Ideal,G,SI1,61.9,57.0,5408
0.77,Premium,E,SI2,59.8,56.0,2723
0.32,Ideal,E,VS2,61.4,56.0,900
0.3,Ideal,H,VVS1,62.2,55.0,665
0.31,Premium,G,VVS2,60.0,62.0,907
1.02,Premium,G,VS1,62.0,56.0,6683
0.42,Ideal,E,VVS1,62.1,55.0,1400
0.32,Premium,F,VVS2,61.8,59.0,793
1.16,Ideal,G,VVS1,62.0,57.0,9526
0.32,Ideal,E,VVS1,60.5,57.0,917
0.39,Premium,G,SI1,62.4,58.0,878
0.72,Ideal,F,VVS1,61.7,56.0,3795
0.3,Ideal,H,VS1,62.4,55.0,545
0.98,Very Good,H,SI2,62.1,59.0,3731
0.33,Ideal,F,VVS1,61.4,55.0,893
0.27,Premium,F,IF,61.7,57.0,820
0.3,Very Good,J,SI1,62.7,59.0,351
0.32,Good,H,SI1,63.5,57.0,461
0.38,Premium,D,VVS1,61.4,59.0,1400
0.34,Premium,D,SI1,62.0,59.0,803
1.0,Ideal,F,VS1,61.7,55.0,7056
0.26,Premium,E,VVS1,60.9,59.0,635
0.79,Ideal,G,SI1,62.3,57.0,2898
1.26,Good,J,VS2,63.2,57.3,5211
0.38,Ideal,D,VVS2,61.2,57.0,1289
1.07,Ideal,G,VVS2,62.4,54.0,8393
1.05,Very Good,F,VVS2,61.3,59.0,8537
0.51,Premium,F,VS2,62.1,58.0,1687
1.03,Premium,H,SI1,61.9,58.0,4932
0.32,Ideal,F,VS2,62.3,56.0,645
0.51,Ideal,E,VS2,61.9,56.0,1781
1.01,Premium,F,VS2,62.5,58.0,6271
0.24,Very Good,F,VVS2,61.9,56.0,492
0.3,Premium,I,VVS2,61.0,60.0,526
1.01,Premium,I,SI2,61.1,58.0,3874
0.24,Premium,D,VVS1,61.5,60.0,710
0.31,Very Good,G,VVS1,62.1,59.0,816
1.01,Very Good,E,SI2,62.4,58.0,4355
1.0,Premium,F,VS2,62.9,59.0,6296
1.26,Very Good,G,SI1,63.3,58.0,7910
1.37,Premium,G,SI2,62.4,58.0,6260
0.32,Premium,D,SI1,62.2,60.0,706
0.37,Ideal,E,VVS1,61.5,56.0,1179
0.89,Good,F,SI1,64.3,55.0,3663
0.32,Ideal,D,VS2,61.9,57.0,972
0.39,Ideal,H,VS2,62.3,55.0,707
0.82,Very Good,D,SI1,61.3,56.0,3593
0.7,Good,D,VS2,64.1,59.0,3033
0.31,Ideal,D,VS2,61.9,56.0,942
0.38,Premium,D,VS1,61.9,60.0,1140
0.73,Premium,F,VS1,61.9,56.0,2961
0.33,Ideal,F,VS2,61.2,54.0,854
0.4,Very Good,G,IF,61.4,54.0,1229
1.21,Very Good,D,SI2,60.9,58.0,5922
0.41,Very Good,F,SI1,62.9,56.0,755
1.16,Ideal,G,IF,62.0,57.0,9901
0.73,Premium,F,SI1,62.4,55.0,2346
0.9,Premium,H,VS2,60.7,58.0,4082
0.3,Ideal,D,VS2,62.8,57.0,911
0.96,Good,H,VS1,63.9,54.0,4456
1.5,Ideal,H,SI2,62.4,58.0,8471
1.01,Premium,F,SI2,61.1,57.0,3903
1.07,Premium,J,VS2,62.8,57.0,4224
0.52,Ideal,G,VS1,61.7,57.0,1665
0.3,Premium,E,VS2,61.8,58.0,844
1.0,Fair,F,SI1,61.3,62.0,5040
0.51,Very Good,G,VS2,62.5,59.0,1438
0.38,Very Good,G,VS2,61.6,59.0,705
0.28,Ideal,F,VVS2,62.6,55.0,787
0.4,Ideal,E,VVS2,61.7,55.0,1158
0.44,Premium,G,SI1,60.1,60.0,990
1.0,Ideal,F,VS2,61.7,58.0,6424
1.34,Ideal,J,SI2,62.5,57.0,5273
0.43,Premium,H,SI1,61.5,58.0,919
0.31,Ideal,E,VVS2,61.6,57.0,816
0.53,Very Good,E,SI2,63.1,58.0,1167
0.4,Very Good,E,SI2,61.4,57.0,666
0.9,Very Good,E,I1,62.4,63.0,2200
0.9,Very Good,E,SI2,59.9,57.0,4288
0.3,Ideal,E,SI1,62.1,58.0,499
0.4,Ideal,E,VS1,62.2,55.0,1125
0.31,Ideal,E,VS2,61.6,56.0,872
1.23,Very Good,H,SI1,60.3,58.0,6997
0.7,Fair,F,SI2,64.6,57.0,1947
0.28,Ideal,I,VS1,62.0,56.0,503
1.0,Very Good,F,SI2,61.7,58.0,3789
0.73,Ideal,E,SI1,61.4,56.0,2886
1.71,Premium,H,SI2,62.3,58.0,10534
0.3,Ideal,E,VS2,61.6,55.0,658
1.34,Very Good,D,SI2,62.3,59.0,7230
0.32,Ideal,I,VS2,62.0,53.0,466
0.71,Ideal,D,VS2,62.7,57.0,3212
1.02,Ideal,F,VS1,60.7,56.0,7091
1.01,Premium,D,VS1,61.1,61.0,7785
0.3,Ideal,G,VVS2,62.2,54.0,638
0.41,Premium,E,SI2,61.9,55.0,876
0.53,Ideal,H,VVS1,61.6,54.0,1743
0.76,Very Good,F,SI1,62.7,57.0,2533
0.3,Very Good,H,VS2,63.5,59.0,608
0.93,Ideal,I,SI1,61.9,57.0,3359
1.21,Premium,G,SI2,59.1,55.0,5184
0.4,Ideal,F,VVS1,62.2,56.0,1186
0.43,Ideal,G,SI1,62.9,55.0,968
0.83,Ideal,E,SI2,61.9,53.0,3049
0.81,Very Good,E,SI1,60.3,60.0,2797
1.07,Ideal,D,SI1,61.8,55.0,5872
0.32,Ideal,F,SI1,60.9,55.0,586
0.26,Premium,H,VVS2,59.8,61.0,565
0.5,Premium,F,VS2,61.4,59.0,1736
0.71,Very Good,E,SI1,61.7,61.0,2606
1.02,Premium,F,SI1,61.8,59.0,5686
0.71,Premium,I,SI2,62.1,58.0,1696
0.7,Premium,F,SI2,62.0,58.0,1890
0.4,Ideal,H,SI2,62.6,55.0,540
0.32,Ideal,E,VS1,61.7,56.0,972
0.28,Ideal,D,VS2,62.4,57.0,487
1.28,Premium,G,VS2,62.1,60.0,8139
1.25,Premium,G,SI2,60.4,59.0,6300
1.02,Ideal,G,I1,61.5,56.0,3321
0.33,Good,E,SI1,63.3,56.0,579
1.2,Good,D,SI2,63.7,52.0,6344
0.36,Premium,D,VS2,60.5,58.0,852
1.11,Premium,F,VS1,59.4,58.0,7832
0.43,Premium,G,VVS1,60.9,58.0,1207
1.02,Very Good,J,SI2,62.9,59.0,3755
0.51,Very Good,G,IF,59.3,57.0,2084
0.5,Premium,F,VS2,62.8,61.0,1654
1.02,Premium,H,SI1,61.9,58.0,4604
0.42,Ideal,E,VVS2,62.3,55.0,1216
0.23,Very Good,F,VS2,63.4,56.0,402
0.73,Ideal,D,VS2,62.0,56.0,3440
1.01,Ideal,J,VS2,61.3,56.0,4617
0.3,Ideal,H,SI1,62.1,55.0,450
1.01,Very Good,F,IF,63.5,59.0,9972
0.63,Premium,H,VS1,62.9,60.0,1921
0.74,Premium,F,VS2,61.9,56.0,2805
0.54,Ideal,F,VS1,61.1,57.0,1774
0.3,Ideal,E,VS2,62.4,57.0,844
1.23,Ideal,H,VVS2,61.3,55.0,7387
0.91,Fair,H,SI1,64.4,60.0,3180
0.5,Ideal,E,SI2,63.0,57.0,1181
1.01,Very Good,F,VVS1,61.4,58.0,9810
0.77,Premium,E,SI2,61.3,55.0,2723
1.05,Ideal,F,VVS1,61.6,55.0,10872
1.0,Premium,E,SI2,62.2,59.0,4390
0.51,Ideal,D,VS2,61.2,55.0,1882
1.25,Ideal,E,SI1,61.1,57.0,6468
1.02,Fair,F,VVS1,64.6,59.0,7960
0.34,Premium,E,SI1,60.3,57.0,765
0.56,Ideal,E,VVS2,62.6,54.0,2441
0.72,Ideal,J,VVS2,60.9,58.0,2136
0.7,Fair,G,I1,64.6,59.0,1115
1.02,Ideal,G,VVS2,62.1,57.0,8401
1.7,Very Good,H,SI2,63.8,55.0,9745
0.71,Very Good,D,SI1,60.1,60.0,2921
0.72,Very Good,I,VS2,63.3,55.0,2337
1.51,Ideal,I,SI1,59.4,61.0,8396
0.8,Premium,E,SI2,60.2,57.0,2829
0.32,Ideal,F,VS2,61.9,57.0,688
1.05,Very Good,D,SI1,61.6,61.0,5255
0.64,Very Good,D,VS2,62.2,58.0,2297
1.01,Premium,G,SI1,59.6,58.0,5034
0.57,Premium,J,VS2,60.2,62.0,1176
0.8,Ideal,E,SI1,62.0,57.0,3297
1.01,Premium,H,SI1,59.2,58.0,3417
1.5,Very Good,D,SI2,63.3,57.0,8518
0.6,Premium,E,VS2,59.3,60.0,2124
0.32,Ideal,F,VS2,61.1,57.0,645
0.73,Ideal,G,VVS1,61.6,56.0,3487
0.31,Good,D,VS1,61.7,61.0,653
0.73,Ideal,G,SI1,62.1,54.0,2583
0.91,Premium,E,VS2,62.8,59.0,4739
0.52,Ideal,F,VVS2,61.6,57.0,2168
0.32,Ideal,I,VS2,60.3,56.0,576
0.3,Ideal,E,VVS2,62.3,54.0,742
0.51,Premium,F,SI1,60.7,58.0,1421
0.93,Ideal,F,SI2,59.5,57.0,3828
0.7,Premium,D,SI2,59.8,59.0,1806
0.75,Ideal,E,SI1,61.5,56.0,2652
0.53,Very Good,E,VS1,62.6,59.0,1909
0.4,Ideal,J,VS1,62.6,55.0,810
1.11,Premium,I,SI2,62.5,56.0,3469
0.31,Very Good,H,VS2,62.2,59.0,489
0.73,Very Good,D,SI1,63.1,57.0,2808
1.01,Premium,H,SI2,61.9,61.0,3394
0.5,Ideal,F,SI2,62.0,58.0,1095
0.9,Ideal,D,SI1,62.4,55.0,5656
0.8,Ideal,H,IF,62.4,54.0,3972
1.51,Ideal,H,VS1,61.2,58.0,10186
1.05,Very Good,D,VS2,59.7,58.0,7794
0.4,Premium,E,SI1,60.9,56.0,945
1.02,Ideal,G,IF,62.3,57.0,8955
1.54,Premium,G,SI2,61.5,61.0,8969
1.06,Very Good,G,IF,61.2,57.0,8415
1.08,Ideal,D,SI2,61.6,57.0,5256
0.73,Premium,E,VS1,62.6,60.0,2876
0.5,Good,D,VS2,63.7,56.0,1635
0.8,Very Good,H,VVS2,62.9,56.0,3036
1.0,Premium,D,SI1,62.2,58.0,5096
1.16,Ideal,G,SI1,60.9,57.0,5519
1.23,Very Good,J,VS2,62.8,59.0,4960
1.0,Premium,F,VS2,62.1,58.0,6047
0.71,Very Good,E,VS1,63.3,59.0,3064
1.21,Very Good,I,VS2,63.4,57.0,5387
0.54,Ideal,H,SI2,61.2,56.0,1208
0.96,Ideal,G,VS1,61.1,56.0,6807
1.05,Ideal,H,SI2,61.2,57.0,4410
0.83,Ideal,H,VVS1,63.4,56.0,3846
0.34,Premium,F,VS2,61.2,59.0,880
1.0,Ideal,G,VS2,60.5,56.0,6328
0.32,Ideal,F,VS1,61.6,57.0,716
0.35,Very Good,H,VS1,62.6,58.0,614
0.31,Ideal,G,IF,61.0,55.0,871
0.33,Ideal,G,VVS2,60.1,57.0,752
0.72,Ideal,G,VS1,61.5,57.0,3478
0.51,Ideal,G,VS1,59.7,57.0,1781
0.42,Ideal,I,VS1,61.7,54.0,771
0.7,Ideal,F,SI1,61.4,57.0,2596
0.31,Premium,D,VS1,59.7,58.0,1011
1.56,Premium,J,VS1,61.3,59.0,7144
0.23,Good,F,VS2,61.0,57.0,442
1.07,Premium,H,VS1,60.5,61.0,4494
0.5,Premium,E,SI1,60.2,58.0,1415
0.79,Ideal,D,SI1,61.1,57.0,3209
0.32,Very Good,G,VS2,61.9,56.0,576
1.25,Good,H,SI1,63.7,58.0,6783
1.1,Very Good,G,VVS1,61.4,60.0,9257
0.7,Good,I,SI1,63.6,61.0,2142
1.39,Premium,E,SI2,62.7,58.0,7311
0.41,Ideal,E,SI1,61.5,55.0,711
0.32,Ideal,G,VVS2,62.0,56.0,708
0.9,Good,E,SI1,63.8,56.0,3449
0.73,Ideal,G,SI1,60.1,57.0,2548
0.53,Ideal,G,VS1,61.6,57.0,1607
0.35,Good,F,SI2,63.8,56.0,591
0.32,Ideal,F,VS1,61.9,56.0,702
0.33,Very Good,D,SI2,62.9,56.0,492
1.0,Ideal,F,SI2,62.7,57.0,4155
1.0,Premium,F,VS2,62.8,59.0,6328
0.55,Very Good,E,SI2,59.6,57.0,1145
1.5,Good,H,VS2,64.0,58.0,9620
0.33,Ideal,D,VS2,62.3,56.0,1002
0.32,Ideal,H,VVS1,61.3,56.0,905
1.05,Good,E,SI2,63.2,59.0,4204
0.5,Ideal,E,VS2,63.0,54.0,1629
1.16,Very Good,G,VS1,62.9,55.0,7589
0.31,Ideal,G,VVS2,62.1,56.0,907
0.7,Premium,F,SI1,61.0,60.0,2492
0.4,Premium,D,SI1,61.7,58.0,772
1.12,Ideal,I,VS2,62.8,55.0,4986
1.0,Premium,J,SI2,62.3,58.0,2801
1.01,Premium,F,SI1,62.8,59.0,3920
0.31,Very Good,E,VVS2,61.5,55.0,710
0.7,Ideal,D,SI2,61.6,56.0,2384
0.99,Very Good,D,SI1,62.6,57.0,5671
1.21,Very Good,H,VS1,62.0,58.0,7279
0.7,Good,E,VS2,64.1,59.0,2777
0.31,Ideal,E,VVS1,61.7,55.0,1105
1.07,Ideal,H,VS1,60.2,57.0,5063
0.64,Ideal,F,VS2,62.3,56.0,2419
0.41,Good,G,VVS1,61.0,61.0,986
1.08,Premium,G,VS2,62.3,58.0,6532
0.5,Premium,G,SI1,62.2,60.0,1286
0.37,Premium,I,VS2,61.6,60.0,666
0.33,Premium,E,SI1,60.9,58.0,743
0.36,Premium,H,SI1,63.0,55.0,648
1.21,Good,F,VS2,63.5,55.0,7786
0.5,Ideal,J,VS1,61.4,58.0,1134
1.5,Very Good,I,SI2,63.4,58.0,7211
0.3,Very Good,E,SI1,61.8,60.0,526
0.33,Premium,F,VS2,62.4,58.0,666
1.51,Very Good,I,SI1,62.2,60.0,8637
1.01,Very Good,D,SI2,59.8,57.0,4260
1.51,Premium,I,VVS2,61.1,60.0,10817
0.28,Very Good,H,VVS1,59.9,62.0,504
1.27,Premium,J,VVS1,60.1,58.0,5761
0.91,Very Good,D,SI1,62.1,59.0,4466
0.27,Ideal,F,IF,61.4,57.0,760
0.91,Premium,D,SI2,62.7,59.0,3848
1.0,Premium,H,VS1,61.8,61.0,5169
0.58,Premium,F,VS2,62.4,55.0,1869
0.24,Very Good,E,VVS2,62.8,58.0,478
0.76,Premium,D,VS2,60.9,58.0,2977
1.02,Very Good,H,VS1,62.8,59.0,5598
0.7,Ideal,I,VS1,62.1,57.0,2398
1.22,Ideal,H,SI2,61.7,56.0,5502
1.22,Very Good,G,VVS2,59.3,58.0,9706
0.52,Premium,I,VVS1,60.1,58.0,1733
0.36,Ideal,H,VS1,61.8,57.0,810
0.53,Very Good,D,VS2,63.2,56.0,1601
0.61,Ideal,G,VVS2,60.1,57.0,2816
0.3,Premium,E,VS2,60.0,60.0,658
0.32,Ideal,E,VVS1,61.7,55.0,954
1.02,Premium,F,VS1,60.8,59.0,7539
0.31,Premium,H,VVS2,61.4,58.0,802
1.01,Very Good,D,VS2,63.3,58.0,6794
0.4,Very Good,D,VS1,62.9,56.0,1123
0.75,Ideal,J,VS1,61.9,56.0,2161
0.94,Premium,E,SI1,60.0,58.0,4580
0.42,Premium,G,VS2,62.0,58.0,847
0.77,Ideal,J,VS2,61.9,54.0,2292
0.72,Ideal,H,VS1,61.4,56.0,2998
1.01,Premium,E,SI2,60.8,58.0,4089
1.02,Ideal,H,VS2,62.0,57.0,5426
0.32,Very Good,F,VS2,59.7,62.0,602
0.72,Ideal,G,VVS1,62.2,54.4,3492
1.01,Good,H,VVS2,63.3,57.0,5988
0.3,Ideal,I,VS1,62.5,54.0,457
1.01,Good,G,SI2,63.7,58.0,3923
0.34,Ideal,F,SI2,61.9,57.0,438
0.5,Ideal,D,VS2,61.7,53.0,1678
0.63,Good,F,SI2,64.2,56.0,1240
0.83,Premium,E,VS2,61.3,59.0,3625
0.4,Premium,H,VS1,62.6,58.0,807
0.7,Premium,E,SI1,61.7,62.0,2592
0.34,Ideal,G,IF,61.0,55.0,974
0.41,Ideal,E,SI1,61.8,56.0,904
0.71,Ideal,E,VS1,62.7,57.0,3238
0.34,Ideal,D,VS2,60.6,57.0,1033
1.22,Premium,G,SI2,60.5,58.0,5739
0.39,Ideal,D,VS1,62.0,57.0,1095
0.53,Ideal,H,VVS1,61.1,57.0,2154
0.7,Ideal,F,VS1,62.0,55.0,2726
0.73,Very Good,F,VS2,62.7,58.0,2939
0.4,Very Good,H,VS2,59.1,61.0,737
1.72,Fair,D,SI2,64.6,58.0,8264
0.33,Ideal,H,VS2,60.7,57.0,521
0.4,Premium,J,VS1,60.7,60.0,631
0.42,Ideal,H,VS1,62.4,57.0,1087
0.36,Very Good,F,SI1,60.7,54.0,641
1.1,Ideal,F,VS1,61.5,59.0,8796
1.26,Very Good,G,VS2,63.3,57.0,8040
0.74,Very Good,E,VS1,63.1,58.0,2849
0.3,Good,G,VVS1,64.0,57.0,678
0.38,Ideal,E,IF,61.4,55.0,1402
1.0,Ideal,I,VS1,60.4,55.0,5385
0.42,Ideal,E,VS1,61.6,57.0,1105
1.01,Premium,F,VS2,59.2,61.0,6900
0.71,Good,G,VS1,63.5,55.0,2853
0.32,Ideal,E,VS2,62.6,53.0,702
0.3,Ideal,G,IF,62.0,56.0,956
0.73,Ideal,F,VS1,62.6,56.0,3211
0.91,Ideal,F,SI2,62.2,56.0,3812
1.13,Premium,G,VS2,61.9,58.0,7151
0.24,Premium,H,VVS2,60.7,58.0,554
0.32,Ideal,G,IF,61.8,55.0,898
0.38,Premium,D,SI1,59.1,58.0,635
0.7,Premium,I,SI2,62.3,59.0,1415
0.94,Premium,E,SI2,60.4,59.0,3758
1.02,Very Good,F,SI2,60.3,59.0,4241
1.02,Very Good,H,VS2,60.6,60.0,5393
0.38,Ideal,F,VVS1,61.9,54.0,1257
1.21,Premium,I,VS1,61.2,59.0,5540
0.91,Ideal,D,SI1,62.1,55.0,5535
0.61,Ideal,I,VS2,62.0,57.0,1627
1.01,Good,F,SI2,62.5,59.0,3886
0.46,Ideal,G,SI1,62.2,53.4,934
0.32,Ideal,G,VVS1,62.4,56.0,842
0.36,Premium,E,VS2,62.0,58.0,789
0.43,Ideal,G,VVS2,62.0,55.0,954
0.62,Very Good,F,SI2,63.1,52.0,1348
1.04,Premium,G,VS2,62.3,54.0,6206
0.76,Ideal,I,IF,61.6,55.0,2988
0.37,Premium,D,SI1,61.0,62.0,874
0.75,Very Good,F,VS1,60.9,59.0,3220
1.17,Premium,H,SI1,62.6,59.0,4631
0.72,Ideal,F,SI1,62.3,56.0,3004
0.71,Ideal,D,SI1,61.3,57.0,2690
0.7,Premium,H,SI1,62.8,57.0,2331
0.52,Very Good,H,SI1,61.3,60.0,1071
0.24,Very Good,F,VS1,59.9,58.0,419
0.3,Ideal,F,VVS1,62.6,55.0,814
1.07,Premium,G,SI1,61.0,58.0,5091
0.71,Very Good,G,VS2,63.5,57.0,2454
0.71,Ideal,F,VS2,62.2,55.0,3405
0.39,Ideal,D,VS1,61.9,57.0,1170
0.51,Premium,D,VS2,61.9,62.0,1812
0.3,Ideal,E,VVS2,61.5,58.0,766
1.18,Ideal,E,SI2,60.9,57.0,6328
1.5,Premium,G,SI1,62.6,55.0,9265
0.35,Premium,D,SI2,62.3,58.0,669
0.58,Ideal,G,VS2,61.1,55.0,1951
0.32,Premium,E,VVS2,59.9,58.0,1080
0.93,Ideal,H,VS1,61.8,57.0,5171
1.01,Premium,D,SI1,60.7,58.0,5599
